T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      1.0000000     -1.9980000    0.015984000     0.99900000   0.0039960000     0.99900000
      1.0000000     -1.9970000    0.023964000     0.99875000   0.0044937500     0.99875000
      1.0000000     -1.9980000    0.015984000     0.99916667   0.0029972222     0.99916667
      1.0000000     -1.9975000    0.019975000     0.53362500   0.0027469375     0.99912500
      1.0000000     -1.9940000    0.047856000     0.29860000   0.0071806400     0.99780000
      1.0000000     -1.9940000    0.047856000     0.22525000   0.0064826389     0.99791667
      1.0000000     -1.9945714    0.043310694     0.33585714   0.0057004898     0.99814286
      1.0000000     -1.9947500    0.041889750     0.40918750   0.0056118594     0.99818750
      1.0000000     -1.9951111    0.039015506     0.25266667   0.0051000000     0.99833333
      1.0000000     -1.9956000    0.035122560     0.12740000   0.0045910000     0.99850000
      1.0000000     -1.9945455    0.043517355    0.028863636   0.0051692479     0.99822727
      1.0000000     -1.9946667    0.042552889    0.045458333   0.0054038264     0.99820833
      1.0000000     -1.9943077    0.045408852    0.051346154   0.0060615325     0.99803846
      1.0000000     -1.9945714    0.043310694   -0.023714286   0.0057004898     0.99814286
      1.0000000     -1.9945333    0.043613796   -0.088600000   0.0057193956     0.99813333
      1.0000000     -1.9947500    0.041889750    -0.14550000   0.0056118594     0.99818750
      1.0000000     -1.9950588    0.039431751    -0.19576471   0.0052824775     0.99829412
      1.0000000     -1.9953333    0.037246222    -0.24044444   0.0049896173     0.99838889
      1.0000000     -1.9955789    0.035290238    -0.28042105   0.0047275235     0.99847368
      1.0000000     -1.9957000    0.034326040    -0.31635000   0.0046910000     0.99850000
      1.0000000     -1.9959048    0.032694821    -0.34890476   0.0044680272     0.99857143
      1.0000000     -1.9959091    0.032660331    -0.37843182   0.0044917996     0.99856818
      1.0000000     -1.9959130    0.032628839    -0.39658696   0.0043833176     0.99858696
      1.0000000     -1.9960833    0.031271972    -0.33839583   0.0042009983     0.99864583
      1.0000000     -1.9962400    0.030023450    -0.28486000   0.0040332400     0.99870000
      1.0000000     -1.9962308    0.030097018    -0.24719231   0.0040700828     0.99869231
      1.0000000     -1.9962222    0.030165136    -0.27501852   0.0041041962     0.99868519
      1.0000000     -1.9962857    0.029659102    -0.30089286   0.0039933878     0.99871429
      1.0000000     -1.9963448    0.029187938    -0.27250000   0.0038902152     0.99874138
      1.0000000     -1.9962667    0.029810916    -0.23016667   0.0038602489     0.99873333
      1.0000000     -1.9962581    0.029879476    -0.20093548   0.0039933403     0.99870968
      1.0000000     -1.9961250    0.030939938    -0.20223437   0.0040866943     0.99867187
      1.0000000     -1.9960606    0.031453076    -0.22630303   0.0042349862     0.99863636
      1.0000000     -1.9961765    0.030529758    -0.24905882   0.0041106401     0.99867647
      1.0000000     -1.9962857    0.029659102    -0.27051429   0.0039933878     0.99871429
      1.0000000     -1.9960000    0.031936000    -0.25702778   0.0041592562     0.99863889
      1.0000000     -1.9961081    0.031074548    -0.22305405   0.0040470387     0.99867568
      1.0000000     -1.9961579    0.030677795    -0.22752632   0.0040457064     0.99868421
      1.0000000     -1.9961538    0.030710059    -0.24728205   0.0039931598     0.99869231
      1.0000000     -1.9962500    0.029943750    -0.26610000   0.0038934975     0.99872500
      1.0000000     -1.9960488    0.031547308    -0.23560976   0.0042364402     0.99863415
      1.0000000     -1.9960476    0.031556562    -0.20621429   0.0041831088     0.99864286
      1.0000000     -1.9960465    0.031565387    -0.21519767   0.0042018989     0.99863953
      1.0000000     -1.9961364    0.030849380    -0.23303409   0.0041065656     0.99867045
      1.0000000     -1.9960889    0.031227702    -0.25002222   0.0042148721     0.99864444
      1.0000000     -1.9961739    0.030550140    -0.26632609   0.0041234008     0.99867391
      1.0000000     -1.9961702    0.030579629    -0.27162766   0.0041418628     0.99867021
      1.0000000     -1.9960833    0.031271972    -0.26101042   0.0041386107     0.99865625
      1.0000000     -1.9960408    0.031610769    -0.27606122   0.0041151920     0.99865306
      1.0000000     -1.9961200    0.030979782    -0.29054000   0.0040330304     0.99868000
      1.0000000     -1.9961961    0.030373493    -0.30445098   0.0039540854     0.99870588
      1.0000000     -1.9961154    0.031016562    -0.31777885   0.0040122896     0.99868269
      1.0000000     -1.9961887    0.030432461    -0.33065094   0.0039367145     0.99870755
      1.0000000     -1.9962222    0.030165136    -0.34303704   0.0038823580     0.99872222
      1.0000000     -1.9962909    0.029617698    -0.35498182   0.0038118863     0.99874545
      1.0000000     -1.9963571    0.029089776    -0.36650000   0.0037439273     0.99876786
      1.0000000     -1.9964211    0.028580343    -0.37761404   0.0036783490     0.99878947
      1.0000000     -1.9962414    0.030012457    -0.36561207   0.0038384040     0.99873276
      1.0000000     -1.9960339    0.031665894    -0.35335593   0.0040606251     0.99866102
      1.0000000     -1.9961000    0.031139160    -0.33080000   0.0039930656     0.99868333
      1.0000000     -1.9960328    0.031674750    -0.34151639   0.0040420400     0.99866393
      1.0000000     -1.9960968    0.031164866    -0.35213710   0.0039769592     0.99868548
      1.0000000     -1.9960952    0.031177107    -0.34995238   0.0039930572     0.99868254
      1.0000000     -1.9961250    0.030939938    -0.32886719   0.0039463162     0.99869531
      1.0000000     -1.9961846    0.030464848    -0.30842308   0.0038857067     0.99871538
      1.0000000     -1.9961515    0.030728635    -0.31144697   0.0039175296     0.99870455
      1.0000000     -1.9962090    0.030270870    -0.32172388   0.0038591577     0.99872388
      1.0000000     -1.9962059    0.030295360    -0.33166912   0.0038317628     0.99872794
      1.0000000     -1.9961739    0.030550140    -0.34131884   0.0039063886     0.99871014
      1.0000000     -1.9961429    0.030797633    -0.35069286   0.0038933141     0.99870714
      1.0000000     -1.9961972    0.030364690    -0.35983803   0.0038385715     0.99872535
      1.0000000     -1.9962500    0.029943750    -0.36872917   0.0037853470     0.99874306
      1.0000000     -1.9962466    0.029971044    -0.37736301   0.0037608390     0.99874658
      1.0000000     -1.9962973    0.029566782    -0.38577703   0.0037101006     0.99876351
      1.0000000     -1.9963467    0.029173279    -0.39396667   0.0036607131     0.99878000
      1.0000000     -1.9963947    0.028790114    -0.40194079   0.0036126231     0.99879605
      1.0000000     -1.9964416    0.028416882    -0.40970779   0.0035657802     0.99881169
      1.0000000     -1.9964872    0.028053204    -0.41727564   0.0035201366     0.99882692
      1.0000000     -1.9964304    0.028505993    -0.42462025   0.0035639571     0.99881013
      1.0000000     -1.9963750    0.028947437    -0.41986875   0.0036815586     0.99878125
      1.0000000     -1.9964198    0.028590703    -0.40233951   0.0036361797     0.99879630
      1.0000000     -1.9964634    0.028242653    -0.38523780   0.0035919059     0.99881098
      1.0000000     -1.9964819    0.028095071    -0.36856024   0.0035967762     0.99881325
      1.0000000     -1.9965000    0.027951000    -0.35227381   0.0035658724     0.99882143
      1.0000000     -1.9965412    0.027622734    -0.33636471   0.0035239856     0.99883529
      1.0000000     -1.9965814    0.027302090    -0.32082558   0.0034830714     0.99884884
      1.0000000     -1.9965287    0.027721916    -0.31316092   0.0035577202     0.99882759
      1.0000000     -1.9965227    0.027769816    -0.30017045   0.0035399747     0.99882955
      1.0000000     -1.9964270    0.028533203    -0.28562921   0.0036346678     0.99879775
      1.0000000     -1.9964444    0.028393877    -0.27135000   0.0036054043     0.99880556
      1.0000000     -1.9964615    0.028257609    -0.25738462   0.0035767835     0.99881319
      1.0000000     -1.9964348    0.028470896    -0.25561413   0.0036355339     0.99879891
      1.0000000     -1.9964731    0.028165298    -0.24211290   0.0035965035     0.99881183
      1.0000000     -1.9965106    0.027866191    -0.22889894   0.0035583023     0.99882447
      1.0000000     -1.9965263    0.027741208    -0.21596842   0.0035313813     0.99883158
