T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      1.0000000     -1.9800000     0.15840000     0.99000000    0.039600000     0.99000000
      1.0000000     -1.9900000    0.079600000     0.99500000    0.019900000     0.99500000
      1.0000000     -1.9933333    0.053155556     0.99666667    0.013288889     0.99666667
      1.0000000     -1.9950000    0.039900000     0.99750000   0.0099750000     0.99750000
      1.0000000     -1.9960000    0.031936000     0.99800000   0.0079840000     0.99800000
      1.0000000     -1.9966667    0.026622222     0.99833333   0.0066555556     0.99833333
      1.0000000     -1.9885714    0.090906122     0.98357143   0.0099489796     0.99642857
      1.0000000     -1.9900000    0.079600000     0.73562500   0.0087109375     0.99687500
      1.0000000     -1.9911111    0.070795062     0.54277778   0.0077469136     0.99722222
      1.0000000     -1.9920000    0.063744000     0.38850000   0.0069750000     0.99750000
      1.0000000     -1.9927273    0.057970248     0.26227273   0.0063429752     0.99772727
      1.0000000     -1.9933333    0.053155556     0.15708333   0.0058159722     0.99791667
      1.0000000     -1.9938462    0.049079290    0.068076923   0.0053698225     0.99807692
      1.0000000     -1.9942857    0.045583673  -0.0082142857   0.0049872449     0.99821429
      1.0000000     -1.9946667    0.042552889   -0.074333333   0.0046555556     0.99833333
      1.0000000     -1.9950000    0.039900000    -0.13218750   0.0043652344     0.99843750
      1.0000000     -1.9941176    0.046920415    -0.18294118   0.0046934256     0.99823529
      1.0000000     -1.9944444    0.044320988    -0.22833333   0.0044333333     0.99833333
      1.0000000     -1.9947368    0.041994460    -0.26894737   0.0042005540     0.99842105
      1.0000000     -1.9930000    0.055804000    -0.28050000   0.0049840000     0.99800000
      1.0000000     -1.9933333    0.053155556    -0.21952381   0.0047473923     0.99809524
      1.0000000     -1.9936364    0.050747107    -0.16409091   0.0045322314     0.99818182
      1.0000000     -1.9939130    0.048547448    -0.11347826   0.0043357278     0.99826087
      1.0000000     -1.9941667    0.046530556   -0.067083333   0.0041555556     0.99833333
      1.0000000     -1.9944000    0.044674560   -0.024400000   0.0039897600     0.99840000
      1.0000000     -1.9930769    0.055192899   -0.024038462   0.0057513314     0.99788462
      1.0000000     -1.9933333    0.053155556   -0.060185185   0.0055389575     0.99796296
      1.0000000     -1.9935714    0.051263265   -0.093750000   0.0053417092     0.99803571
      1.0000000     -1.9937931    0.049501070    -0.12500000   0.0051580262     0.99810345
      1.0000000     -1.9940000    0.047856000    -0.15416667   0.0049865556     0.99816667
      1.0000000     -1.9941935    0.046316753    -0.18145161   0.0048261186     0.99822581
      1.0000000     -1.9943750    0.044873437    -0.20703125   0.0046756836     0.99828125
      1.0000000     -1.9945455    0.043517355    -0.23106061   0.0045343434     0.99833333
      1.0000000     -1.9947059    0.042240830    -0.25367647   0.0044012976     0.99838235
      1.0000000     -1.9931429    0.054669061    -0.27428571   0.0068362449     0.99771429
      1.0000000     -1.9905556    0.075198765    -0.28736111   0.0080215278     0.99708333
      1.0000000     -1.9908108    0.073175749    -0.25256757   0.0078056245     0.99716216
      1.0000000     -1.9910526    0.071258726    -0.21960526   0.0076010388     0.99723684
      1.0000000     -1.9912821    0.069439579    -0.18833333   0.0074069034     0.99730769
      1.0000000     -1.9915000    0.067711000    -0.15862500   0.0072224375     0.99737500
      1.0000000     -1.9917073    0.066066389    -0.13036585   0.0070469363     0.99743902
      1.0000000     -1.9919048    0.064499773    -0.10345238   0.0068797619     0.99750000
      1.0000000     -1.9920930    0.063005733   -0.077790698   0.0067203353     0.99755814
      1.0000000     -1.9922727    0.061579339   -0.053295455   0.0065681302     0.99761364
      1.0000000     -1.9924444    0.060216099   -0.029888889   0.0064226667     0.99766667
      1.0000000     -1.9926087    0.058911909  -0.0075000000   0.0062835066     0.99771739
      1.0000000     -1.9927660    0.057663015    0.013936170   0.0061502490     0.99776596
